Wavenumber,Processed
257.39,6175.10
261.69,6178.90
265.99,6131.60
270.29,6069.60
274.59,6043.80
278.89,6045.70
283.18,6051.70
287.47,6099.30
291.76,6084.70
296.04,6088.50
300.33,6129.80
304.61,6159.40
308.89,6187.90
313.17,6215.70
317.44,6231.90
321.71,6293.90
325.98,6353.40
330.25,6390.20
334.52,6414.50
338.78,6487.30
343.04,6538.50
347.30,6590.70
351.55,6655.50
355.81,6714.80
360.06,6777.90
364.31,6868.50
368.55,6903.10
372.80,6967.80
377.04,6982.50
381.28,7066.50
385.52,7119.10
389.75,7193.60
393.98,7248.90
398.21,7338.50
402.44,7390.80
406.67,7459.60
410.89,7488.70
415.11,7502.40
419.33,7522.80
423.55,7526.40
427.76,7549.60
431.97,7549.80
436.18,7576.70
440.39,7543.30
444.59,7536.50
448.79,7478.90
452.99,7386.20
457.19,7302.60
461.39,7153.20
465.58,7028.90
469.77,6897.00
473.96,6825.90
478.14,6841.70
482.32,6921.80
486.50,7052.50
490.68,7012.30
494.86,6818.50
499.03,6446.70
503.20,5977.10
507.37,5449.70
511.54,5003.20
515.70,4616.70
519.87,4276.00
524.02,4006.40
528.18,3821.10
532.34,3671.80
536.49,3524.50
540.64,3450.50
544.79,3355.10
548.93,3250.50
553.07,3189.90
557.21,3137.20
561.35,3092.70
565.49,3037.40
569.62,3021.10
573.75,2989.00
577.88,2959.70
582.00,2961.20
586.13,2988.00
590.25,3009.40
594.37,3043.90
598.48,3096.50
602.60,3114.10
606.71,3067.20
610.82,3006.50
614.93,2869.00
619.03,2784.40
623.13,2675.10
627.23,2561.60
631.33,2529.20
635.42,2450.60
639.52,2426.40
643.61,2394.60
647.69,2366.80
651.78,2337.70
655.86,2314.10
659.94,2312.80
664.02,2288.10
668.10,2260.90
672.17,2247.20
676.24,2244.90
680.31,2220.90
684.37,2186.60
688.44,2186.90
692.50,2156.50
696.56,2137.90
700.61,2128.90
704.67,2118.20
708.72,2127.80
712.77,2095.60
716.81,2101.10
720.86,2090.70
724.90,2075.00
728.94,2082.70
732.98,2093.70
737.01,2076.50
741.04,2090.00
745.07,2069.40
749.10,2076.20
753.12,2072.40
757.15,2077.60
761.17,2084.70
765.18,2138.20
769.20,2189.70
773.21,2311.30
777.22,2413.80
781.23,2499.30
785.23,2580.50
789.24,2634.20
793.24,2637.00
797.24,2636.30
801.23,2611.70
805.23,2614.30
809.22,2576.70
813.20,2543.10
817.19,2531.20
821.17,2488.20
825.15,2441.60
829.13,2408.10
833.11,2337.10
837.08,2292.40
841.05,2221.50
845.02,2133.30
848.99,2057.60
852.95,1982.70
856.92,1915.20
860.88,1851.30
864.83,1803.30
868.79,1771.70
872.74,1753.10
876.69,1735.60
880.63,1709.10
884.58,1671.50
888.52,1647.20
892.46,1636.70
896.40,1610.10
900.33,1610.50
904.27,1590.80
908.20,1584.20
912.12,1580.20
916.05,1564.30
919.97,1526.50
923.89,1528.00
927.81,1509.50
931.72,1505.40
935.64,1489.10
939.55,1466.80
943.45,1475.00
947.36,1461.00
951.26,1446.30
955.16,1442.80
959.06,1427.90
962.96,1430.90
966.85,1427.10
970.74,1418.60
974.63,1416.30
978.52,1392.70
982.40,1423.60
986.28,1406.70
990.16,1407.80
994.04,1414.30
997.91,1394.30
1001.78,1419.60
1005.65,1415.20
1009.52,1422.80
1013.38,1438.40
1017.24,1462.70
1021.10,1510.70
1024.96,1511.60
1028.81,1534.80
1032.66,1570.80
1036.51,1603.00
1040.36,1638.20
1044.20,1657.80
1048.05,1673.80
1051.88,1696.10
1055.72,1708.00
1059.56,1681.80
1063.39,1677.40
1067.22,1689.70
1071.05,1657.50
1074.87,1657.50
1078.69,1642.70
1082.51,1639.00
1086.33,1632.00
1090.14,1621.30
1093.96,1599.30
1097.77,1579.90
1101.57,1554.60
1105.38,1543.60
1109.18,1524.40
1112.98,1516.00
1116.78,1509.60
1120.58,1519.60
1124.37,1518.70
1128.16,1507.70
1131.95,1527.30
1135.73,1529.10
1139.52,1541.70
1143.30,1554.80
1147.07,1589.30
1150.85,1590.60
1154.62,1609.50
1158.39,1625.10
1162.16,1640.50
1165.93,1648.50
1169.69,1648.40
1173.45,1638.00
1177.21,1675.10
1180.97,1660.20
1184.72,1673.80
1188.47,1676.90
1192.22,1676.70
1195.97,1690.40
1199.71,1677.50
1203.45,1670.70
1207.19,1692.50
1210.93,1688.50
1214.66,1676.70
1218.40,1704.60
1222.12,1683.20
1225.85,1707.00
1229.58,1690.40
1233.30,1707.00
1237.02,1680.70
1240.73,1695.10
1244.45,1682.40
1248.16,1678.50
1251.87,1669.80
1255.58,1650.60
1259.28,1663.10
1262.98,1647.20
1266.68,1662.10
1270.38,1650.30
1274.08,1653.30
1277.77,1666.50
1281.46,1650.50
1285.15,1676.40
1288.83,1677.60
1292.52,1665.30
1296.20,1672.10
1299.87,1677.30
1303.55,1697.60
1307.22,1682.30
1310.89,1657.60
1314.56,1670.50
1318.23,1665.20
1321.89,1661.20
1325.55,1648.20
1329.21,1643.20
1332.86,1652.40
1336.52,1634.40
1340.17,1643.50
1343.82,1632.10
1347.46,1641.10
1351.11,1646.40
1354.75,1660.90
1358.39,1657.90
1362.02,1663.50
1365.66,1671.60
1369.29,1669.50
1372.92,1671.90
1376.54,1658.20
1380.17,1662.20
1383.79,1644.00
1387.41,1651.00
1391.02,1637.70
1394.64,1629.10
1398.25,1599.70
1401.86,1624.00
1405.47,1614.70
1409.07,1597.00
1412.67,1614.70
1416.27,1585.60
1419.87,1594.50
1423.47,1604.30
1427.06,1602.00
1430.65,1604.00
1434.24,1599.80
1437.82,1614.00
1441.40,1616.00
1444.98,1624.50
1448.56,1637.70
1452.14,1645.60
