Wavenumber,Processed
257.39,1950
261.69,1967.4
265.99,1964.8
270.29,1963.4
274.59,1982.7
278.89,2006.5
283.18,2013.7
287.47,2059.5
291.76,2068.9
296.04,2082.4
300.33,2107.1
304.61,2122.2
308.89,2148.2
313.17,2160
317.44,2166.9
321.71,2192.3
325.98,2228.3
330.25,2251.4
334.52,2259.1
338.78,2277.3
343.04,2306.2
347.3,2334.9
351.55,2365.6
355.81,2387.3
360.06,2396.8
364.31,2455
368.55,2456.2
372.8,2484.6
377.04,2501.4
381.28,2529.3
385.52,2542
389.75,2570.9
393.98,2598.8
398.21,2620.9
402.44,2645
406.67,2684.3
410.89,2671.9
415.11,2669.8
419.33,2669.7
423.55,2688.9
427.76,2692.4
431.97,2699
436.18,2707.6
440.39,2682.6
444.59,2695.6
448.79,2671.8
452.99,2630.7
457.19,2600.6
461.39,2525.1
465.58,2483.6
469.77,2432.7
473.96,2390.7
478.14,2393.7
482.32,2430.8
486.5,2472.5
490.68,2436.3
494.86,2347.2
499.03,2165.5
503.2,1970.9
507.37,1762.8
511.54,1582.8
515.7,1451.4
519.87,1316.2
524.02,1220.7
528.18,1149.9
532.34,1095.2
536.49,1026.4
540.64,1006
544.79,967.5
548.93,926.6
553.07,912.7
557.21,895.1
561.35,874.6
565.49,852.6
569.62,851.2
573.75,832.2
577.88,820.1
582,825.7
586.13,835.3
590.25,836
594.37,843.5
598.48,871.1
602.6,871
606.71,856.6
610.82,832.5
614.93,787.8
619.03,764.8
623.13,718.3
627.23,682.6
631.33,687.7
635.42,650.4
639.52,642.8
643.61,639.8
647.69,626.4
651.78,607.7
655.86,606.6
659.94,612.8
664.02,605
668.1,582.1
672.17,587.3
676.24,600.2
680.31,579.2
684.37,567.7
688.44,575.8
692.5,561
696.56,561.7
700.61,549.9
704.67,554.1
708.72,569.7
712.77,538
716.81,554.4
720.86,556.1
724.9,532.6
728.94,552.3
732.98,555.5
737.01,542.1
741.04,564.5
745.07,542.2
749.1,553.1
753.12,552
757.15,564.3
761.17,560.6
765.18,592.2
769.2,601.9
773.21,666.8
777.22,714
781.23,739.9
785.23,785.2
789.24,805.1
793.24,815.5
797.24,808.7
801.23,798
805.23,795.7
809.22,780
813.2,769.3
817.19,766.4
821.17,746.6
825.15,720.8
829.13,718.3
833.11,688
837.08,676.9
841.05,654.4
845.02,606.3
848.99,570.5
852.95,533.6
856.92,525.7
860.88,499.5
864.83,475.3
868.79,459.6
872.74,470.4
876.69,459.3
880.63,448.3
884.58,434
888.52,416.6
892.46,426.4
896.4,413
900.33,416.1
904.27,405.4
908.2,420.6
912.12,413
916.05,407.3
919.97,390.5
923.89,395.7
927.81,388.8
931.72,383.6
935.64,384.9
939.55,365.9
943.45,377
947.36,368.6
951.26,369.8
955.16,360
959.06,345.1
962.96,357.1
966.85,358.2
970.74,350.9
974.63,361.5
978.52,337.3
982.4,354.9
986.28,351.5
990.16,353.8
994.04,350.9
997.91,332.9
1001.78,340.9
1005.65,341.7
1009.52,348.2
1013.38,351.7
1017.24,355.5
1021.1,386.7
1024.96,376.7
1028.81,380
1032.66,395.4
1036.51,410.8
1040.36,429
1044.2,431.6
1048.05,440.7
1051.88,447.1
1055.72,464.4
1059.56,439.9
1063.39,433.4
1067.22,451.6
1071.05,433.5
1074.87,435.8
1078.69,420.1
1082.51,419.8
1086.33,419.4
1090.14,409.2
1093.96,402.1
1097.77,388.7
1101.57,370.1
1105.38,380.9
1109.18,359.5
1112.98,353.1
1116.78,350.5
1120.58,347.9
1124.37,344.8
1128.16,326.8
1131.95,350.4
1135.73,342.5
1139.52,353.3
1143.3,357.4
1147.07,366.9
1150.85,362.7
1154.62,363
1158.39,372.3
1162.16,384
1165.93,376.7
1169.69,373.7
1173.45,367.4
1177.21,392.1
1180.97,371.6
1184.72,375
1188.47,382.1
1192.22,378.6
1195.97,398.9
1199.71,372.6
1203.45,357.4
1207.19,384.3
1210.93,368.2
1214.66,373.5
1218.4,376.5
1222.12,347.9
1225.85,373.5
1229.58,351.9
1233.3,373.8
1237.02,344
1240.73,350.2
1244.45,344.9
1248.16,351
1251.87,347.3
1255.58,326
1259.28,339.3
1262.98,321.2
1266.68,337.3
1270.38,330.1
