Wavenumber,Processed
257.39,7023.20
261.70,7049.40
266.00,6997.70
270.30,6902.40
274.60,6850.70
278.89,6854.80
283.19,6866.40
287.48,6884.00
291.77,6896.40
296.05,6899.50
300.34,6916.10
304.62,6957.50
308.90,6994.50
313.17,7009.00
317.45,7074.20
321.72,7094.40
325.99,7131.00
330.26,7204.00
334.52,7244.40
338.79,7310.10
343.05,7361.80
347.30,7433.00
351.56,7471.60
355.81,7579.00
360.07,7630.40
364.31,7727.50
368.56,7770.30
372.80,7880.20
377.05,7905.90
381.29,7953.30
385.52,8039.60
389.76,8101.40
393.99,8202.00
398.22,8267.50
402.45,8346.10
406.67,8408.50
410.90,8443.50
415.12,8498.50
419.34,8511.10
423.55,8514.30
427.77,8523.50
431.98,8555.00
436.19,8534.30
440.39,8557.80
444.60,8513.70
448.80,8445.60
453.00,8336.20
457.20,8234.90
461.39,8093.40
465.58,7936.10
469.78,7791.40
473.96,7695.10
478.15,7714.80
482.33,7816.40
486.51,7914.80
490.69,7934.60
494.87,7746.70
499.04,7321.10
503.21,6765.50
507.38,6166.00
511.55,5632.90
515.71,5150.50
519.87,4767.90
524.03,4462.60
528.19,4194.10
532.34,4017.30
536.50,3875.20
540.65,3740.90
544.79,3647.60
548.94,3556.30
553.08,3483.50
557.22,3403.00
561.36,3344.50
565.49,3283.30
569.63,3239.60
573.76,3217.90
577.89,3213.50
582.01,3185.00
586.14,3240.00
590.26,3250.80
594.38,3307.90
598.49,3350.60
602.61,3367.40
606.72,3319.40
610.83,3259.60
614.93,3123.30
619.04,3002.40
623.14,2897.80
627.24,2775.20
631.34,2694.50
635.43,2633.20
639.52,2571.10
643.61,2551.70
647.70,2507.90
651.79,2492.20
655.87,2463.70
659.95,2436.70
664.03,2418.00
668.10,2382.40
672.18,2370.10
676.25,2356.30
680.31,2342.90
684.38,2326.90
688.44,2309.60
692.51,2283.60
696.56,2245.10
700.62,2248.30
704.67,2233.30
708.73,2230.00
712.77,2218.10
716.82,2204.30
720.86,2216.20
724.91,2195.50
728.95,2199.30
732.98,2185.30
737.02,2167.70
741.05,2178.50
745.08,2177.60
749.11,2167.00
753.13,2165.90
757.15,2161.80
761.17,2202.20
765.19,2241.80
769.21,2305.10
773.22,2430.30
777.23,2545.00
781.24,2656.50
785.24,2766.30
789.24,2810.00
793.25,2802.50
797.24,2824.30
801.24,2820.20
805.23,2792.40
809.22,2763.90
813.21,2711.90
817.20,2673.20
821.18,2616.70
825.16,2593.50
829.14,2539.70
