Wavenumber,Processed
257.39,8104.13
261.7,19632.29
266,15953.69
270.3,13475.93
274.6,13568.38
278.89,14044.13
283.19,14219.14
287.48,14206.57
291.77,14148.64
296.05,14144.53
300.34,14208.82
304.62,14276.37
308.9,14341.83
313.17,14363.27
317.45,14385.85
321.72,14431.35
325.99,14514.09
330.26,14568.5
334.52,14595.56
338.79,14627.08
343.05,14700.41
347.3,14733.89
351.56,14754.69
355.81,14844.35
360.07,14915.11
364.31,14961.76
368.56,15035.33
372.8,15053.95
377.05,15072.09
381.29,15089.26
385.52,15171.55
389.76,15258.22
393.99,15341.16
398.22,15477.52
402.45,15558.47
406.67,15582.13
410.9,15601.17
415.12,15606.68
419.34,15600.14
423.55,15602.02
427.77,15622.02
431.98,15632.23
436.19,15653.17
440.39,15655.1
444.6,15585.2
448.8,15480.43
453,15397.38
457.2,15239.85
461.39,15016.1
465.58,14816.14
469.78,14630.8
473.96,14508.15
478.15,14504.26
482.33,14657.59
486.51,14877.01
490.69,15024.09
494.87,14832.64
499.04,14333.89
503.21,13701.24
507.38,13067.21
511.55,12486.6
515.71,12021.77
519.87,11573.52
524.03,11272.33
528.19,11057.66
532.34,10895.59
536.5,10747.34
540.65,10611.56
544.79,10497.14
548.94,10355.16
553.08,10302.41
557.22,10239.23
561.36,10151.69
565.49,10122.59
569.63,10057.84
573.76,10011.94
577.89,10033.28
582.01,10039.19
586.14,10049.34
590.26,10069.35
594.38,10141.61
598.49,10191.93
602.61,10195.54
606.72,10141.59
610.83,10002.26
614.93,9809.06
619.04,9617.1
623.14,9446.11
627.24,9327.07
631.34,9252.03
635.43,9199.59
639.52,9126.23
643.61,9086.21
647.7,9055.84
651.79,9062.64
655.87,9066.07
659.95,9040.05
664.03,9024.26
668.1,8987.16
672.18,8968.26
676.25,8885.48
680.31,8848.61
684.38,8822.06
688.44,8771.71
692.51,8697.58
696.56,8643.5
700.62,8625.5
704.67,8620.8
708.73,8593.15
712.77,8585.59
716.82,8573.88
720.86,8561.32
724.91,8550.59
728.95,8533.76
732.98,8501.88
737.02,8512
741.05,8505.41
745.08,8469.16
749.11,8445.71
753.13,8434.39
757.15,8409.56
761.17,8398.54
765.19,8453.02
769.21,8554.73
773.22,8685.09
777.23,8830.76
781.24,8954.8
785.24,9054.86
789.24,9057.77
793.25,9088.1
797.24,9087.86
801.24,9069.95
805.23,9074.53
809.22,9058.61
813.21,9016.85
817.2,8976.39
821.18,8951.48
825.16,8917.84
829.14,8869.77
833.12,8815.35
837.09,8740.94
841.06,8651.81
845.03,8569.8
849,8486.77
852.96,8399.46
856.92,8267.96
860.88,8164.71
864.84,8120.8
868.79,8114.89
872.75,8112.56
876.69,8080.14
880.64,8049.36
884.59,8020.37
888.53,8017.5
892.47,7986.9
896.41,8009.36
900.34,8009.44
904.27,7992.07
908.2,7977.1
912.13,7985.72
916.06,7975.17
919.98,7962.1
923.9,7949.98
927.82,7928.72
931.73,7917.21
935.64,7908.5
939.55,7932.19
943.46,7946.22
947.37,7971.84
951.27,8006.02
955.17,8075.06
959.07,8081.18
962.97,8067.33
966.86,8081.28
970.75,8135.13
974.64,8148.87
978.52,8155.3
982.41,8185.59
986.29,8234.03
990.17,8258.57
994.04,8263.34
997.92,8300.15
1001.79,8337.54
1005.66,8381.62
1009.52,8442.24
1013.39,8493.88
1017.25,8589.37
1021.11,8674.93
1024.96,8751.45
1028.82,8855.62
1032.67,8979.74
1036.52,9059.56
1040.37,9147.43
1044.21,9226.43
1048.05,9321.93
1051.89,9438.12
1055.73,9476.79
1059.56,9534.22
1063.4,9591.17
1067.23,9630.39
1071.05,9726.58
1074.88,9787.13
1078.7,9847.71
1082.52,9927.34
1086.34,10034.13
1090.15,10124.07
1093.96,10211.86
1097.77,10275.32
1101.58,10357.61
1105.39,10440.72
1109.19,10517.05
1112.99,10564.74
1116.79,10631.89
1120.58,10765.83
1124.38,10902.12
1128.17,11020.35
1131.95,11107.6
1135.74,11230.78
1139.52,11352.57
1143.3,11536.68
1147.08,11697.07
1150.86,11866.98
1154.63,12074.69
1158.4,12261.83
1162.17,12363.97
1165.94,12478.72
1169.7,12618.58
1173.46,12718.53
1177.22,12864.66
1180.98,13021.36
1184.73,13171.67
1188.48,13331.35
1192.23,13359.84
1195.98,13433.42
1199.72,13540.42
1203.46,13721.67
1207.2,13876.76
1210.94,14012.92
1214.67,14197.13
1218.4,14373.58
1222.13,14560.22
1225.86,14674.39
1229.58,14849.63
1233.31,14990.01
1237.02,15072.23
1240.74,15102.76
1244.46,15172.63
1248.17,15270.25
1251.88,15359.99
1255.59,15321.95
1259.29,15386.35
1262.99,15520.36
1266.69,15643.2
1270.39,15695.61
1274.08,15707.36
1277.78,15728.29
1281.47,15841.2
1285.15,16024.48
1288.84,16209.74
1292.52,16319.97
1296.2,16375.91
1299.88,16407.54
1303.56,16415.97
1307.23,16458.3
1310.9,16476.4
1314.57,16473.31
1318.23,16446.59
1321.9,16399.8
1325.56,16416.45
1329.22,16377.97
1332.87,16327.68
1336.52,16303.12
1340.18,16286.73
1343.82,16246.66
1347.47,16305.13
1351.11,16315.77
1354.75,16330.64
1358.39,16415.73
1362.03,16475.29
1365.66,16468.53
1369.29,16442.89
1372.92,16404.49
1376.55,16346.15
1380.17,16268.73
1383.8,16193.58
1387.42,16104.2
1391.03,15989.77
1394.65,15864.82
1398.26,15725.02
1401.87,15640.87
1405.47,15566.56
1409.08,15431.88
1412.68,15351.65
1416.28,15306.19
1419.88,15231.52
1423.47,15158.39
1427.07,15150.42
1430.66,15062.34
1434.24,15006.53
1437.83,14982.1
1441.41,14960.38
1444.99,14948.61
1448.57,14950.41
1452.14,14876.09
1455.72,14730.9
1459.29,14654.9
1462.86,14509.68
1466.42,14365.59
1469.98,14233.77
1473.54,14115.56
1477.1,13965.76
1480.66,13798.51
1484.21,13664.39
1487.76,13523.07
1491.31,13418.66
1494.86,13339.59
1498.4,13272.53
1501.94,13224.92
1505.48,13201.85
1509.02,13170.89
1512.55,13086.11
1516.08,13044.04
1519.61,13001.8
1523.14,12959.69
1526.66,12858.78
1530.19,12721.96
1533.71,12583.98
1537.22,12415.1
1540.74,12250.28
1544.25,12109.91
1547.76,12094.65
1551.27,12152.15
1554.77,12149.5
1558.27,11982.66
