Wavenumber,Processed
257.39,425.99
261.7,462.27
266,442.95
270.3,417.34
274.6,430.62
278.89,471.2
283.19,528.09
287.48,577.47
291.77,613.65
296.05,663.93
300.34,729.11
304.62,802.99
308.9,878.97
313.17,953.64
317.45,1026.21
321.72,1119.38
325.99,1207.05
330.26,1288.52
334.52,1379.47
338.79,1490.43
343.05,1558.78
347.3,1672.72
351.56,1776.35
355.81,1910.38
360.07,2015.5
364.31,2133.5
368.56,2227.1
372.8,2342.88
377.05,2444.55
381.29,2520.4
385.52,2653.03
389.76,2762.85
393.99,2882.14
398.22,3002.11
402.45,3118.05
406.67,3207.87
410.9,3303.45
415.12,3371.4
419.34,3431.11
423.55,3505.79
427.77,3521.62
431.98,3579.21
436.19,3641.74
440.39,3680.12
444.6,3652.85
448.8,3649.91
453,3603.71
457.2,3528.84
461.39,3420.19
465.58,3302.77
469.78,3206.35
473.96,3163.95
478.15,3226.66
482.33,3366.06
486.51,3512.76
490.69,3553.14
494.87,3367.41
499.04,2957.55
503.21,2465.26
507.38,1957.64
511.55,1469.07
515.71,1054.75
519.87,712.47
524.03,455.23
528.19,270.82
532.34,128.43
536.5,33.36
540.65,0
544.79,0
548.94,0
553.08,0
557.22,0
561.36,0
565.49,0
569.63,0
573.76,0
577.89,0
582.01,0
586.14,0
590.26,0
594.38,0
598.49,89.07
602.61,128
606.72,125.74
610.83,77.5
614.93,0
619.04,0
623.14,0
627.24,0
631.34,0
635.43,0
639.52,0
643.61,0
647.7,0
651.79,0
655.87,0
659.95,0
664.03,0
668.1,0
672.18,0
676.25,0
680.31,0
684.38,0
688.44,0
692.51,0
696.56,0
700.62,0
704.67,0
708.73,0
712.77,0
716.82,0
720.86,0
724.91,0
728.95,0
732.98,0
737.02,0
741.05,0
745.08,0
749.11,0
753.13,6.45
757.15,33.52
761.17,68.8
765.19,136.07
769.21,250.76
773.22,372.66
777.23,514.37
781.24,642.59
785.24,734.14
789.24,795.61
793.25,840.1
797.24,845.52
801.24,848.97
805.23,849.45
809.22,842.06
813.21,823.82
817.2,802.81
821.18,782.94
825.16,753.92
829.14,729.04
833.12,686.32
837.09,633.94
841.06,573.92
845.03,512.65
849,443.34
852.96,369.49
856.92,295.6
860.88,236.78
864.84,201.62
868.79,203.23
872.75,181.7
876.69,181.75
880.64,138.08
884.59,120.97
888.53,106.65
892.47,89.71
896.41,93.54
900.34,80.76
904.27,80.97
908.2,68.67
912.13,66.45
916.06,67.92
919.98,50.79
923.9,47.75
927.82,45.11
931.73,36.47
935.64,36.13
939.55,25.1
943.46,25.57
947.37,30.04
951.27,27.03
955.17,30.42
959.07,34.03
962.97,26.25
966.86,33.19
970.75,24.94
974.64,34.82
978.52,32.32
982.41,34.74
986.29,38.69
990.17,47.47
994.04,38.77
997.92,51.61
1001.79,64.09
1005.66,73.29
1009.52,83.64
1013.39,119.12
1017.25,131.35
1021.11,164.22
1024.96,196.63
1028.82,226.89
1032.67,271.3
1036.52,301.16
1040.37,342.08
1044.21,375.84
1048.05,395.97
1051.89,410.95
1055.73,404.99
1059.56,402.39
1063.4,394.25
1067.23,393.18
1071.05,380.48
1074.88,366.44
1078.7,349.18
1082.52,342.78
1086.34,320.36
1090.15,310.01
1093.96,296.14
1097.77,265.25
1101.58,243.74
1105.39,227.9
1109.19,190.65
1112.99,188.89
1116.79,174.1
1120.58,176.21
1124.38,179.2
1128.17,182.39
1131.95,187.46
1135.74,184.33
1139.52,194.49
1143.3,203.05
1147.08,215.7
1150.86,217.55
1154.63,236.31
1158.4,248.96
1162.17,263.72
1165.94,267.98
1169.7,272.44
1173.46,267.92
1177.22,273
1180.98,283.59
1184.73,277.19
1188.48,277
1192.23,273.63
1195.98,265.87
1199.72,266.32
1203.46,266.1
1207.2,265.89
1210.94,261.9
1214.67,253.83
1218.4,254.58
1222.13,252.66
1225.86,242.66
1229.58,234.18
1233.31,232.33
1237.02,233.21
1240.74,208.92
1244.46,199.16
1248.17,186.83
1251.88,171.13
1255.59,159.16
1259.29,145.73
1262.99,134.83
1266.69,127.47
1270.39,111.74
1274.08,111.95
1277.78,105.41
1281.47,100.2
1285.15,109.73
1288.84,104.11
1292.52,103.03
1296.2,113.09
1299.88,101.8
1303.56,100.35
1307.23,94.86
1310.9,82.61
1314.57,92.51
1318.23,73.06
1321.9,63.36
1325.56,54.91
1329.22,53.41
1332.87,41.17
1336.52,33.99
1340.18,37.26
1343.82,23.88
1347.47,27.17
1351.11,21.81
1354.75,19.42
1358.39,23.68
1362.03,20.6
1365.66,18.89
1369.29,10.74
1372.92,18.46
1376.55,14.24
1380.17,4.18
1383.8,6.1
1387.42,0
1391.03,0.43
1394.65,0
1398.26,0
1401.87,0
1405.47,0
1409.08,0
1412.68,0
1416.28,0
1419.88,0
1423.47,0
1427.07,0
1430.66,0
1434.24,0
1437.83,0
1441.41,0
1444.99,0
1448.57,0
1452.14,5.15
1455.72,7.43
1459.29,14.5
1462.86,0.17
1466.42,0
1469.98,0
1473.54,0
1477.1,0
1480.66,0
1484.21,0
1487.76,0
1491.31,0
1494.86,0
1498.4,14.78
1501.94,22.87
1505.48,22.47
1509.02,44.99
1512.55,52.81
1516.08,69.25
1519.61,78.41
1523.14,89.59
1526.66,97.69
1530.19,121.01
1533.71,128.85
1537.22,133.82
1540.74,153.41
1544.25,196.53
1547.76,278.37
1551.27,444.05
1554.77,510.96
1558.27,483.81
1561.77,362.48
1565.27,297.7
1568.77,301.35
1572.26,321.13
1575.75,342.26
1579.24,376.83
1582.72,409.24
1586.21,444.3
1589.69,470.7
1593.17,508.14
1596.64,529.64
1600.12,567.48
1603.59,595.87
1607.05,626.31
1610.52,645
1613.98,676.05
1617.45,691.65
1620.91,718.5
1624.36,731.51
1627.82,747.28
1631.27,775.5
1634.72,784.98
1638.16,802.92
1641.61,808.22
1645.05,810.08
1648.49,833.6
1651.93,823.79
1655.36,823.34
1658.8,789.44
1662.23,779.42
1665.65,770.95
1669.08,768.66
1672.5,767.82
1675.92,730.15
1679.34,704.35
1682.76,675.81
1686.17,655.84
1689.58,609.33
1692.99,591.49
1696.39,591.92
1699.8,562.82
1703.2,504.68
1706.6,454.7
1709.99,440.3
1713.39,481.66
1716.78,554.29
1720.17,648.38
1723.56,703.44
1726.94,738.87
1730.32,726.87
1733.7,664.03
1737.08,583.95
1740.45,498.45
1743.83,427.61
1747.2,372.03
1750.56,342.12
1753.93,336.57
1757.29,334.19
1760.65,337.37
1764.01,344.82
1767.37,336.43
1770.72,332.2
1774.07,337.04
1777.42,326.63
1780.77,314.69
1784.11,304.41
1787.45,292.19
1790.79,273.83
1794.13,256.73
1797.46,239.39
1800.79,215.8
1804.12,195.18
1807.45,184.11
1810.78,178
1814.1,160.64
1817.42,150.94
1820.74,146.3
1824.05,154.31
1827.36,130.97
1830.67,123.39
1833.98,113.95
1837.29,116.37
1840.59,124.05
1843.89,110.37
1847.19,114.34
1850.49,110.76
1853.78,114.03
1857.07,110.54
1860.36,96.51
1863.65,106.52
1866.93,104.77
1870.22,106.07
1873.5,102.92
1876.77,106.81
1880.05,88.44
1883.32,84.61
1886.59,80.22
1889.86,80.88
1893.12,84.67
1896.39,81.21
1899.65,73.08
1902.91,66.99
1906.16,59.74
1909.42,55.22
1912.67,56.14
1915.92,58.5
1919.16,61.38
1922.41,69.2
1925.65,60.96
1928.89,65.94
1932.13,64.66
1935.36,64.8
1938.6,61.48
1941.83,61.08
1945.05,64.91
1948.28,59.47
1951.5,55.65
1954.72,58.96
1957.94,55.7
1961.16,55.75
1964.37,50.03
1967.58,46.74
1970.79,36.96
1974,37.2
1977.2,36.87
1980.41,36.25
1983.61,31.95
1986.8,28.27
1990,32.7
1993.19,32.45
1996.38,30.32
1999.57,34.6
2002.76,34.19
2005.94,23.69
2009.12,28.61
2012.3,34.53
2015.47,29.37
2018.65,17.91
2021.82,29.36
2024.99,22.92
2028.16,25.39
2031.32,10.86
2034.48,4.74
2037.64,12.12
2040.8,0
2043.96,0
2047.11,0
2050.26,0
2053.41,0
2056.56,0
2059.7,0
2062.84,0
2065.98,0
2069.12,0
2072.25,0
2075.39,0
2078.52,0
2081.64,0
2084.77,0
2087.89,0
2091.01,0
2094.13,0
2097.25,0
2100.36,0
2103.47,0
2106.58,1.92
2109.69,0
2112.79,0
2115.9,0
2119,0
2122.09,0
2125.19,0
2128.28,0
2131.37,0
2134.46,0
2137.55,0
2140.63,0
2143.71,0
2146.79,0
2149.87,0
2152.94,0
2156.02,0
2159.09,0
2162.15,0
2165.22,0
2168.28,0
2171.34,0
2174.4,0
2177.46,0
2180.51,0
2183.56,0
2186.61,0
2189.66,0
2192.71,0
2195.75,0
2198.79,0
2201.83,0
2204.86,0
2207.9,0
2210.93,0
2213.96,0
2216.98,0
2220.01,0
2223.03,0
2226.05,0
2229.07,0
2232.08,0
2235.1,0
2238.11,0
2241.12,0
2244.12,0
2247.13,0
2250.13,0
2253.13,0
2256.13,0
2259.12,0
2262.11,0
2265.1,0
2268.09,0
2271.08,0
2274.06,0
2277.04,0
2280.02,0
2283,3.19
2285.97,0
2288.95,0
2291.92,0
2294.89,2.58
2297.85,4.79
2300.81,1.97
2303.78,11.63
2306.74,8.97
2309.69,20.78
2312.65,28.47
2315.6,40.34
2318.55,76.18
2321.5,159.4
2324.44,365.69
2327.39,542.06
2330.33,528.61
2333.27,360.14
2336.2,150.34
2339.14,72.92
2342.07,46.67
2345,30.91
2347.93,27.12
2350.85,22.71
2353.77,17.67
2356.7,19.01
2359.61,21.23
2362.53,17.73
2365.45,16.1
2368.36,18.25
2371.27,22.07
2374.18,19.38
2377.08,19.96
2379.98,18.92
2382.88,17.05
2385.78,17.56
2388.68,17.55
2391.57,25.92
2394.47,14.96
2397.36,19.08
2400.24,20.68
2403.13,22.95
2406.01,24.71
2408.89,23.73
2411.77,24.94
2414.65,21.02
2417.52,28.88
2420.4,22.12
2423.27,23.03
2426.13,28.62
2429,23.59
2431.86,20.93
2434.72,23.05
2437.58,23.95
2440.44,29.72
2443.29,22.27
2446.15,31.1
2449,25.71
2451.85,30.29
2454.69,28.14
2457.54,28.08
2460.38,30.79
2463.22,27.88
2466.05,31.94
2468.89,30.98
2471.72,25.8
2474.55,31.39
2477.38,28.66
2480.21,35.71
2483.03,36.43
2485.85,27.53
2488.67,29.8
2491.49,31.45
2494.3,36.48
2497.12,34.38
2499.93,35.16
2502.74,37.42
2505.54,38.25
2508.35,38.45
2511.15,30.04
2513.95,34.89
2516.75,35.43
2519.54,34.93
2522.34,36.82
2525.13,35.08
2527.92,39.01
2530.7,37.82
2533.49,33.31
2536.27,37.57
2539.05,36
2541.83,36.71
2544.61,34.3
2547.38,33.46
2550.15,35.99
2552.92,40.4
2555.69,35.19
2558.45,35.84
2561.22,40.48
2563.98,41.48
2566.74,35.96
2569.5,38.12
2572.25,36.85
2575,41.05
2577.75,42.12
2580.5,44.07
2583.25,40.9
2585.99,44.89
2588.73,39.96
2591.47,42.3
2594.21,36.02
2596.94,39.41
2599.68,41.87
2602.41,45.7
2605.14,42.41
2607.87,45.59
2610.59,41.64
2613.31,37.96
2616.03,37.85
2618.75,38.42
2621.47,41.56
2624.18,35.57
2626.89,35.55
2629.6,44.6
2632.31,37.03
2635.02,38.72
2637.72,39.09
2640.42,37.02
2643.12,41.93
2645.82,37.11
2648.51,42.65
2651.2,34.17
2653.89,38.16
2656.58,44.11
2659.27,41.04
2661.95,42.04
2664.64,34.2
2667.32,36.53
2669.99,34.64
2672.67,37.21
2675.34,34.55
2678.02,28.36
2680.69,35.03
2683.35,35.48
2686.02,32.69
2688.68,36.17
2691.34,34.71
2694,29.93
2696.66,34.61
2699.31,33.26
2701.97,31.57
2704.62,30.95
2707.27,27.8
2709.91,33.81
2712.56,29.29
2715.2,29.73
2717.84,30.34
2720.48,27.62
2723.11,31.96
2725.75,26.56
2728.38,26.03
2731.01,23.77
2733.64,31.77
2736.26,31.23
2738.88,22.85
2741.51,25.64
2744.13,30.59
2746.74,27.41
2749.36,21.49
2751.97,22.53
2754.58,22.23
2757.19,21.5
2759.8,23.22
2762.4,14.61
2765,20.96
2767.61,12.97
2770.2,14.25
2772.8,8.68
2775.4,7.68
2777.99,9.73
2780.58,9.84
2783.17,5.62
2785.75,7.85
2788.34,6.65
2790.92,5.5
2793.5,0.71
2796.08,6.58
2798.65,8.81
2801.23,3
2803.8,5.74
2806.37,2.84
2808.94,3.3
2811.5,1.12
2814.06,0
2816.63,3.93
2819.19,0
2821.74,0
2824.3,0
2826.85,0
2829.4,0
2831.95,0
2834.5,0
2837.04,0
2839.59,0
2842.13,0
2844.67,0
2847.2,0
2849.74,0
2852.27,0
2854.8,0
2857.33,0
2859.86,0
2862.38,0
2864.91,0
2867.43,0
2869.95,0
2872.46,0
2874.98,0
2877.49,0
2880,0
2882.51,0
2885.02,0
2887.52,0
2890.02,0
2892.52,0
2895.02,0
2897.52,0
2900.01,0
2902.51,0
2905,0
2907.49,0
2909.97,0
2912.46,0
2914.94,0
2917.42,0
2919.9,0
2922.37,0
2924.85,0
2927.32,0
2929.79,0
2932.26,0
2934.73,0
2937.19,0
2939.65,0
2942.11,0
2944.57,0
2947.03,0
2949.48,0
2951.94,0
2954.39,0
2956.84,0
2959.28,0
2961.73,0
2964.17,0
2966.61,0
2969.05,0
2971.49,0
2973.92,0
